"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21573","confirmed records under my bookings","login","Mon Mar 24 12:24:48 IST 2025","passed","Mon Mar 24 12:25:10 IST 2025","","pagenavigation30test.spec.ts","",""
"","9940","all bookings 10","login","Mon Mar 24 12:24:31 IST 2025","passed","Mon Mar 24 12:24:41 IST 2025","","pagenavigation10test.spec.ts","",""
"","18351","All bookings records","login","Mon Mar 24 12:24:49 IST 2025","passed","Mon Mar 24 12:25:07 IST 2025","","pagenavigation30test.spec.ts","",""
"","17153","Draft records under all bookings","login","Mon Mar 24 12:24:10 IST 2025","passed","Mon Mar 24 12:24:27 IST 2025","","drafttest.spec.ts","",""
"","7938","all bookings records","login","Mon Mar 24 12:24:41 IST 2025","passed","Mon Mar 24 12:24:49 IST 2025","","pagenavigation20test.spec.ts","",""
"","16724","Draft records under my bookings","login","Mon Mar 24 12:24:10 IST 2025","failed","Mon Mar 24 12:24:27 IST 2025","","drafttest.spec.ts","",""
"","15553","draft records under all bookings","login","Mon Mar 24 12:25:00 IST 2025","passed","Mon Mar 24 12:25:16 IST 2025","","pagenavigation30test.spec.ts","",""
"","20224","Confirmed records under all bookings","login","Mon Mar 24 12:24:10 IST 2025","passed","Mon Mar 24 12:24:30 IST 2025","","confirmedtest.spec.ts","",""
"","16649","login","login test","Mon Mar 24 12:23:50 IST 2025","passed","Mon Mar 24 12:24:07 IST 2025","","..\Pages\login.ts","",""
"","14456","draft records under all bookings","login","Mon Mar 24 12:24:48 IST 2025","passed","Mon Mar 24 12:25:02 IST 2025","","pagenavigation20test.spec.ts","",""
"","22911","Reload","login","Mon Mar 24 12:25:02 IST 2025","passed","Mon Mar 24 12:25:25 IST 2025","","reloadtest.spec.ts","",""
"","26544","confirmed records under my bookings","login","Mon Mar 24 12:24:10 IST 2025","passed","Mon Mar 24 12:24:36 IST 2025","","confirmedtest.spec.ts","",""
"","17193","draft records under all bookings","login","Mon Mar 24 12:24:31 IST 2025","passed","Mon Mar 24 12:24:48 IST 2025","","pagenavigation10test.spec.ts","",""
"","23191","confirmed records under my bookings","login","Mon Mar 24 12:24:37 IST 2025","passed","Mon Mar 24 12:25:00 IST 2025","","pagenavigation20test.spec.ts","",""
"","19945","confirmed records under my bookings","login","Mon Mar 24 12:24:28 IST 2025","passed","Mon Mar 24 12:24:47 IST 2025","","pagenavigation10test.spec.ts","",""
